TAX,PREMIUM,MANDATE,result
6,4,4,282699
6,4,5,296481
6,5,0,8246419
6,5,1,1448129
6,5,2,464450
6,5,3,307131
6,5,4,259950
6,5,5,273921
6,6,0,8417099
6,6,1,1429526
6,6,2,442445
6,6,3,262199
6,6,4,243161
6,6,5,205570
6,7,0,8569279
6,7,1,1411148
6,7,2,416071
6,7,3,229757
6,7,4,187994
6,7,5,185751
6,8,0,8747231
6,8,1,1386660
6,8,2,388413
6,8,3,208579
6,8,4,134336
6,8,5,134781
6,9,0,8913439
6,9,1,1365231
6,9,2,354127
6,9,3,182930
6,9,4,110361
6,9,5,73912
6,10,0,9061431
6,10,1,1343739
6,10,2,322363
6,10,3,150247
6,10,4,79011
6,10,5,43209
7,0,0,8180728
7,0,1,1286560
7,0,2,497615
7,0,3,386476
7,0,4,347282
7,0,5,301339
7,1,0,8111568
7,1,1,1393314
7,1,2,486971
7,1,3,393630
7,1,4,333330
7,1,5,281187
7,2,0,8149174
7,2,1,1404493
7,2,2,478436
7,2,3,367824
7,2,4,292766
7,2,5,307307
7,3,0,8236191
7,3,1,1404802
7,3,2,467591
7,3,3,328893
7,3,4,271272
7,3,5,291251
7,4,0,8331181
7,4,1,1402355
7,4,2,455779
7,4,3,292159
7,4,4,264568
7,4,5,253958
7,5,0,8473750
7,5,1,1395524
7,5,2,440393
7,5,3,257479
7,5,4,237749
7,5,5,195105
7,6,0,8577709
7,6,1,1385106
7,6,2,420290
7,6,3,236150
7,6,4,191666
7,6,5,189079
7,7,0,8705343
7,7,1,1374151
7,7,2,397989
7,7,3,219777
7,7,4,146101
7,7,5,156639
7,8,0,8842788
7,8,1,1362310
7,8,2,376489
7,8,3,199302
7,8,4,125547
7,8,5,93564
7,9,0,8944220
7,9,1,1350220
7,9,2,350303
7,9,3,178100
7,9,4,106985
7,9,5,70172
7,10,0,9059181
7,10,1,1336028
7,10,2,326915
7,10,3,153105
7,10,4,80268
7,10,5,44503
8,0,0,8517831
8,0,1,1211188
8,0,2,434946
8,0,3,295020
8,0,4,259913
8,0,5,281102
8,1,0,8429086
8,1,1,1309420
8,1,2,429960
8,1,3,288434
8,1,4,275054
8,1,5,268046
8,2,0,8490427
8,2,1,1320690
8,2,2,432037
8,2,3,271897
8,2,4,262701
8,2,5,222248
8,3,0,8556533
8,3,1,1327114
8,3,2,427285
8,3,3,254076
8,3,4,233745
8,3,5,201247
8,4,0,8608069
8,4,1,1331227
8,4,2,417983
8,4,3,242301
8,4,4,200867
8,4,5,199553
8,5,0,8681766
8,5,1,1331396
8,5,2,405287
8,5,3,233414
8,5,4,167120
8,5,5,181017
8,6,0,8768057
8,6,1,1329700
8,6,2,393733
8,6,3,221162
8,6,4,143688
8,6,5,143660
8,7,0,8855797
8,7,1,1326998
8,7,2,379337
8,7,3,208084
8,7,4,131142
8,7,5,98642
8,8,0,8922227
8,8,1,1322783
8,8,2,363263
8,8,3,193557
8,8,4,118684
8,8,5,79486
8,9,0,8987677
8,9,1,1317978
8,9,2,346695
8,9,3,175753
8,9,4,103810
8,9,5,68087
8,10,0,9063448
8,10,1,1313494
8,10,2,331410
8,10,3,158896
8,10,4,85117
8,10,5,47635
9,0,0,8964229
9,0,1,1136338
9,0,2,372931
9,0,3,208752
9,0,4,148737
9,0,5,169013
9,1,0,8877832
9,1,1,1225120
9,1,2,360649
9,1,3,213531
9,1,4,150628
9,1,5,172240
9,2,0,8883466
9,2,1,1236070
9,2,2,363616
9,2,3,215231
9,2,4,147602
9,2,5,154015
9,3,0,8906302
9,3,1,1242081
9,3,2,364183
9,3,3,212621
9,3,4,144544
9,3,5,130269
9,4,0,8933457
9,4,1,1244960
9,4,2,363221
9,4,3,209533
9,4,4,139713
9,4,5,109116
9,5,0,8953656
9,5,1,1251035
9,5,2,359279
9,5,3,203822
9,5,4,134560
9,5,5,97648
9,6,0,8973629
9,6,1,1256166
9,6,2,354019
9,6,3,198071
9,6,4,127639
9,6,5,90476
9,7,0,8997442
9,7,1,1258754
9,7,2,349002
9,7,3,190254
9,7,4,121300
9,7,5,83248
9,8,0,9025264
9,8,1,1259937
9,8,2,342542
9,8,3,182589
9,8,4,112081
9,8,5,77587
9,9,0,9058657
9,9,1,1261133
9,9,2,336608
9,9,3,174766
9,9,4,102579
9,9,5,66257
9,10,0,9091630
9,10,1,1262348
9,10,2,331809
9,10,3,166339
9,10,4,92528
9,10,5,55346
10,0,0,9397449
10,0,1,1066343
10,0,2,294265
10,0,3,137665
10,0,4,69008
10,0,5,35270
10,1,0,9398863
10,1,1,1065150
10,1,2,293060
10,1,3,137921
10,1,4,69655
10,1,5,35351
10,2,0,9396458
10,2,1,1067027
10,2,2,293563
10,2,3,138091
10,2,4,69436
10,2,5,35425
10,3,0,9397856
10,3,1,1065337
10,3,2,294083
10,3,3,137786
10,3,4,69485
10,3,5,35453
10,4,0,9397777
10,4,1,1065592
10,4,2,293639
10,4,3,137201
10,4,4,70245
10,4,5,35546
10,5,0,9398398
10,5,1,1066329
10,5,2,293844
10,5,3,136644
10,5,4,69400
10,5,5,35385
10,6,0,9397686
10,6,1,1066656
10,6,2,293380
10,6,3,137461
10,6,4,69539
10,6,5,35278
10,7,0,9397337
10,7,1,1067302
10,7,2,294043
10,7,3,136917
10,7,4,69032
10,7,5,35369
10,8,0,9397683
10,8,1,1065725
10,8,2,294049
10,8,3,137617
10,8,4,69579
10,8,5,35347
10,9,0,9398846
10,9,1,1065699
10,9,2,292875
10,9,3,137409
10,9,4,69864
10,9,5,35307
10,10,0,9398039
10,10,1,1066129
10,10,2,293403
10,10,3,137504
10,10,4,69698
10,10,5,35227
