Name,marketcap,earnings,revenue
Booking Holdings (Booking.com),118695780352,5481000000,21365000000
Citigroup,118411395072,12910000000,79490000000
Anheuser-Busch Inbev,118093668352,9128000000,59380000000
CM Bank,117876072827,24937200000,47313654639
Mitsubishi UFJ Financial,117824823296,18039600000,39834296070
Alony Hetz,116871134377,-423599000,504911415
Deutsche Telekom,114685971538,12915400000,120413978460
BlackRock,112788340736,7447000000,17859000000
Allianz,111869412833,13058700000,104297192691
Lockheed Martin,111532777472,7939000000,69640000000
Rio Tinto,111306006528,15742000000,54041000000
Deere & Company,109620166656,15518000000,59698000000
Petrobras,109470687232,157386000000,401024815401
BP,109429866496,27624000000,210130000000
Keyence,108570445174,3596760000,6691533661
TJX Companies,107077877760,5542920000,52326232000
Medtronic,106889510912,6235000000,32320000000
Boeing,106625515520,-1887000000,76442000000
Arm Holdings,105681477632,46000000,2938000000
Boston Scientific,105590267904,1985000000,14240000000
China Shenhua Energy,104906139150,12715100000,48439909006
Toronto Dominion Bank,104511299584,10483100000,39655574190
Air Liquide,103547125874,4594030000,30522498618
Tokyo Electron,103524791334,3351800000,13047631684
Vertex Pharmaceuticals,101971124224,4423900000,9869200000
Airbnb,101865955328,2185000000,9917000000
Cigna,101127249920,6959000000,195187000000
Sony,100957675520,7968020000,88972241182
Chubb,100946763776,9526000000,49826000000
Analog Devices,100448641024,3329280000,11568613000
Starbucks,100190150656,6206600000,36687000000
Sinopec,100138186039,15551300000,473538767624
Automatic Data Processing,99924910080,4606200000,17673900000
Regeneron Pharmaceuticals,98672664576,4199300000,13117200000
China Life Insurance,98166547845,1796810000,117864907755
ICICI Bank,98016714752,5686980000,18630505378
EssilorLuxottica,97936075669,3355440000,28076285240
Marsh & McLennan Companies,97682530304,5233000000,23285000000
Mondelez,97125113856,5880000000,36016000000
Ping An Insurance,95739409284,16272900000,110827882393
Prologis,95445254144,4272680000,8211503000
Mitsubishi Corporation,94938289709,9479900000,141171175704
Palo Alto Networks,94836310016,876000000,7527400000
KLA,94778482688,3119170000,9671427000
Bharti Airtel,94335869350,1804440000,17961432293
Maytronics,93899407432,52661700,515405376
Shopify,92169248768,185000000,7060000000
Southern Copper,91575238656,3955900000,9895800000
ABB,91217128123,4847000000,32246000000
NTT (Nippon Telegraph &amp; Telephone),90833182720,12909200000,93781707670
Safran,90351946832,3127690000,25648424544
Bristol-Myers Squibb,90175545344,-5846000000,45534000000
Fiserv,89992429568,4099000000,19429000000
Dell,89280856064,5388000000,88425000000
State Bank of India,88435853334,10398800000,37617915054
CSL,87266800699,2663000000,13174000000
China Yangtze Power,87164328389,4005390000,9706164727
Partner Communications,87101591687,78915200,912327034
Chipotle Mexican Grill,87012286464,1704930000,10204917000
UBS,86944284672,29728000000,39439000000
SK Hynix,86915714390,-9950610000,22237017350
Meituan,86863198045,1695280000,37296614879
Hitachi,86267654681,7674070000,70513014443
Blackstone Group,86011860000,2957710000,7006649000
Barloworld,85643580000,155833000,2385058689
GlaxoSmithKline,85541666816,7535020000,37849046031
Al Rajhi Bank,85260771248,4944330000,7320382801
CVS Health,85252571136,13831000000,357776000000
BYD,84704818326,5497430000,84896058969
Waste Management,84610465792,3704000000,20693000000
KKR & Co.,83699032064,6554610000,14360028000
AIA,83044057707,4564000000,20697000000
Atlas Copco,82793894630,3494170000,16546430906
Life Healthcare Group,82773380900,131838000,1199256324
Compagnie Financière Richemont,82573080830,5502490000,21758047632
Canadian Natural Resources,82282708992,7582160000,30468848173
Porsche,82263300000,8210600000,43985504422
Synopsys,82197569536,1489900000,6130509000
Arista Networks,82027569152,2422030000,5860168000
HCA Healthcare,81858101248,9644000000,64968000000
BNP Paribas,81816609917,14780500000,65428293094
Gilead Sciences,81346084864,6859000000,27115000000
Fast Retailing,81151842930,3473260000,19847406306
Mercedes-Benz,81100958062,22648500000,166284894808
Southern Company,80783695872,4346000000,25253000000
American Tower,80765747200,2919500000,11144200000
Wuliangye Yibin,80655085315,5858970000,11528118806
General Dynamics,78931779584,4481000000,43122000000
Equinor,78888861696,37884000000,106848000000
Shin-Etsu Chemical,78742776391,5864550000,17427533803
AXA,78412613948,7365800000,134681478334
ACWA POWER Company,78171213172,489676000,1626428580
Canadian National Railway,77823909888,5296810000,12518586809
RELX,77792165888,3303430000,11661952324
National International Holding Company (Kuwait),77701053442,8587320,18059739
Pick n Pay Stores,77523940800,92904200,5797631477
EOG Resources,77516103680,9837000000,23182000000
Iberdrola,77432225876,9490090000,50395442412
Diageo,77250641920,-881883000,16233499637
Sherwin-Williams,76897370112,3109900000,23051900000
Santander,76218458112,17840700000,61617302569
Investor AB,75985327001,15419200000,20432950742
Enbridge,75952390144,5898210000,32589173763
Cadence Design Systems,75915862016,1306100000,4077399000
Duke Energy,75795939328,7781000000,29060000000
Altria Group,75343839232,12362000000,20456000000
CME Group,75235049472,4313000000,5578900000
Colgate-Palmolive,74939080704,3679000000,19457000000
Sumitomo Mitsui Financial Group,74796146688,7996170000,28000782196
Ferrari,74636484608,1736870000,6475463555
Intercontinental Exchange,74562969600,3702000000,9903000000
MercadoLibre,74536583168,1553000000,14473000000
Target,74410573824,5297000000,107412000000
Bank Central Asia,74326010686,3951850000,6692901478
Life Insurance Corporation of India (LIC),74192226540,4916320000,99331064528
Canadian Pacific Railway,73988472832,-2284880000,10310696322
SoftBank,73879444978,859984000,47236775274
Illinois Tool Works,73574916096,4089000000,16107000000
Amphenol,73378799616,2454700000,12554600000
Trane Technologies,73179832320,2801800000,17677500000
Freeport-McMoRan,72957599744,6006000000,22855000000
DBS Group,72909299435,8495260000,15031278309
Mitsui Bussan,72836511278,10083700000,93577752933
Zoetis,72773378048,2936000000,8544000000
PayPal,72276262912,5411000000,29771000000
China Telecom,71848544019,5085280000,69420428058
CrowdStrike,71847182336,122817000,3055555000
Northrop Grumman,71825678336,2479000000,40122000000
Glencore,71712145408,22879000000,255984000000
Parker-Hannifin,70703095808,3348180000,19826043000
McKesson,70441254912,3551000000,301506000000
Infosys,70205267968,4043000000,18553000000
Zurich Insurance Group,70122084303,6221000000,67336000000
TransDigm,69685256192,2881000000,6585000000
BMW,69669096263,19259800000,168773124860
Schlumberger,69515952128,5977000000,34106000000
Cellcom Israel,69457790491,91612400,1198550362
Merck KGaA,69418137781,3773790000,22776131391
Intesa Sanpaolo,69267517908,11639200000,28128984075
National Australia Bank,68826643978,6726880000,13279947472
Thomson Reuters,68763238400,1988000000,6794000000
Walmex,68738424832,4565010000,53312272764
Marriott International,68305854464,3944000000,23713000000
Volkswagen,68128005351,25158500000,349787108889
Recruit,67871545379,2870580000,23958699374
Marathon Petroleum,67797217280,15254000000,148379000000
Moody's,67691253760,2130000000,5726000000
SABIC,67627050342,1697780000,39456438405
Becton Dickinson,67497619456,1540000000,19492000000
Enel,67445748475,12678100000,105035834764
Equinix,67444617216,1526250000,8188136000
Cintas,67435859968,1892370000,9410151000
Vinci,67292683031,9059150000,77263681592
Foxconn Industrial Internet,67223052306,3606920000,67230804240
Midea,67198384423,5670710000,52724403380
Stellantis,66826526720,2786440000,101327331783
Nongfu Spring,66445132955,1613240000,4819438733
Foxconn (Hon Hai Precision Industry),66388126977,6160130000,198326873516
LG Energy Solution,65953700810,1823060000,26231583801
British American Tobacco,65779982336,7618950000,21649298047
Itōchū Shōji,65518948379,7230990000,97658345368
CSX Corporation,65499934720,4772000000,14632000000
Daiichi Sankyō,65497113758,1383210000,10584051473
Ecolab,65379495936,2104400000,15320200000
NXP Semiconductors,65255567360,3790000000,13276000000
ITC,65229417102,3293600000,8463270920
Bank of Montreal,65212067840,5087930000,24983423033
FedEx,64844804096,6819000000,87514000000
Workday,64798711808,470000000,7259000000
U.S. Bancorp,63975596032,6865000000,28013000000
Telkom SA,63759525600,1078730000,7740525376
Pioneer Natural Resources,63634378752,6425000000,19374000000
Postal Savings Bank of China,62966154347,13247100000,34026301672
Hindustan Unilever,62875082276,1719540000,7351814275
Zijin Mining,62851473589,5119360000,40852360519
Banco Bilbao Vizcaya Argentaria,62791049216,13461000000,35495009561
UniCredit,62697900963,12404300000,25568092773
Tokio Marine,62695705112,5266370000,48082908727
Bank of Communications,62571735278,14084100000,36187746725
Apollo Global Management,62305943552,5586000000,32644000000
Siemens Healthineers,62050790919,2134770000,23602896084
Phillips 66,62050279424,10395000000,147399000000
Emerson,62000861184,2720000000,15909000000
Aon,61602553856,3653000000,13376000000
PNC Financial Services,61494284288,6736000000,21509000000
Enterprise Products,61161988096,5701000000,49715000000
Brookfield Corporation,61157507072,21619000000,95924000000
Italtile,61151044800,123203000,487266327
Republic Services,60872069120,2191500000,14964500000
NetEase,60833787904,3913650000,14602957844
Itaú Unibanco,60527849472,7532790000,30040664573
O'Reilly Automotive,60153237504,3206420000,15812250000
America Movil,60147736576,5875620000,47669720646
The Saudi National Bank,59622654463,6076580000,9576651479
Munich RE (Münchener Rück),59588168061,6171740000,66917456972
Occidental Petroleum,59441913856,7374000000,28257000000
London Stock Exchange,59350160796,410616000,1948850723
Westpac Banking,59349746470,3743710000,7772096131
Larsen &amp; Toubro,59257104150,2833490000,25501714018
Constellation Energy,58735403008,2878000000,24918000000
Marvell Technology Group,58385719296,-758700000,5507700000
KDDI,58342302254,7847480000,40600628378
Nintendo,57427632446,4813770000,11973575948
Motorola Solutions,57063387136,2409000000,9979000000
Spotify,57004089344,-141831000,14982355141
Welltower,56917827584,350047000,6637995000
Scotiabank,56278511616,7134240000,23851817379
Carrier,56196116480,2381000000,23007000000
Monster Beverage,55992987648,1953360000,7140027000
Constellation Software,55300809745,428000000,8404000000
Heineken,55191279563,2788280000,33567716971
ANZ Bank,55144801315,6485480000,13055289127
Paccar,55065698304,5946400000,35127400000
Capital One,54965088256,6045000000,36787000000
Xiaomi,54960840704,3376710000,38203354117
Honda,54899720192,8877820000,136431625368
Roper Technologies,54549164032,1743100000,6177800000
Universal Music Group,54024571568,963876000,11073865036
Alimentation Couche-Tard,53947668276,3772500000,67935200000
Simon Property Group,53826985984,3553540000,5658836000
DoorDash,53800554496,-534000000,8635000000
Cement Roadstone Holding,53497286656,-2729110000,48734185293
Valero Energy,53420965888,10011000000,140086000000
Volvo Group,53291356160,6551970000,52086453415
3M,53186293760,-9688000000,32681000000
Energy Transfer Partners,52941524992,8175000000,78586000000
Chugai Pharmaceutical,52912172113,3036340000,7079323818
Estee Lauder,52878348288,1147000000,15157000000
Copart,52765036544,1584820000,4059987000
Norfolk Southern,52733976576,2506000000,12028000000
ING,52720029696,11366700000,24444878331
Snowflake,52542922752,-849223000,2806489000
Dassault Systèmes,52485425696,1541010000,6515508521
Nu Holdings,52401512448,1539080000,5632184000
Fortescue,52333880559,6886000000,16780000000
Supermicro,52072382464,870465000,9252753000
Vale,52070215680,12559000000,41784000000
Air Products and Chemicals,51624960000,2919200000,12422700000
ENI,51571326976,10082500000,96847981688
Coinbase,51467362304,5921000,3108383000
Edwards Lifesciences,51440947200,1615700000,6004800000
Bajaj Finance,51321716852,2327940000,4138016045
AutoZone,51253268480,3295780000,17830562000
General Motors,51115008000,11344000000,174871000000
Mindray,51010709082,1823180000,4869195548
DexCom,51002974208,798700000,3801800000
MetLife,50945220608,3207000000,66523000000
American International Group,50875936768,3858000000,47235000000
Arthur J. Gallagher & Co.,50862874624,1481800000,10071900000
Truist Financial,50680537088,-185000000,23390000000
BAE Systems,50635620111,2961000000,29378292296
Microchip Technology,50277695488,2968000000,8541300000
Suncor Energy,50221072384,8900350000,38432886567
Saudi Telecom Company,50064508158,4286510000,19302159053
Palantir,49940250624,237091000,2225012000
Denso,49888477672,3167380000,50191356936
Maaden,49834218658,691897000,7811070264
Grupo México,49824002048,6682590000,14750625000
Hilton Worldwide,49782906880,2234000000,10515000000
DHL Group (Deutsche Post),49776107639,6905980000,88745008143
National Grid,49502367744,2751270000,23040464211
Wesfarmers,49453189362,2412220000,28740798602
Hess,49407397888,2949000000,10511000000
Mizuho Financial Group,49238880256,7031510000,20281694642
Fortinet,49051394048,1354700000,5304800000
Ford,48935251968,4718000000,177494000000
The Travelers Companies,48567123968,4199000000,42897000000
Interactive Brokers,48557199360,6505000000,7787000000
MediaTek,48471619822,2793670000,13942257574
Industrial Bank,48351696956,11435200000,29701517541
Maruti Suzuki India,48330099436,1905430000,15772826351
Aflac,48253714432,5262000000,18837000000
Japan Tobacco,47989903916,5039140000,19983155391
Compass Group,47778958229,2130120000,37832565172
Cencora,47651434496,2350780000,271579412000
Holcim Group,47606799198,-350268000,26855724379
D. R. Horton,47292497920,6578200000,37062800000
Crédit Agricole,47182613871,10338700000,24406114783
Williams Companies,47146762240,5641000000,10907000000
Macquarie,47114102362,4696400000,4404889844
OCBC Bank,47107032715,6257480000,9992356056
Newmont,47025045504,-2031000000,11812000000
BASF,47022677123,1334510000,71922713102
Kraft Heinz,46650187776,3633000000,26640000000
Constellation Brands,46647902208,2221800000,9961800000
Realty Income,46433206272,1689660000,4078993000
Sika,46392230549,1786600000,13367207488
Oneok,46384787456,3497000000,17677000000
Autodesk,46256984064,1092000000,5346000000
Public Storage,45936254976,2170940000,4517690000
Bank Rakyat Indonesia,45829181616,5018400000,10929639385
American Electric Power,45823860736,2208700000,18982300000
W. W. Grainger,45789687808,2583000000,16622000000
Kimberly-Clark,45782323200,2097000000,20385000000
Block,45651894272,-29143000,21915623000
Infineon,45615179299,4157020000,17413040177
United Rentals,45537099776,3312000000,14532000000
Oriental Land,45510492503,1182940000,4214832944
Atlassian,45362135040,-251950000,3892436000
lululemon athletica,45316255744,2207180000,9619278000
Keurig Dr Pepper,45269262336,2770000000,14929000000
Sempra Energy,45160460288,2627000000,16720000000
CITIC Bank,45007379378,10583800000,28942918381
Jingdong Mall,44998250496,4860680000,152945722408
Hyundai,44963983360,13796400000,123586026436
Pacific Gas and Electric,44754014208,1249000000,24080000000
Allstate,44750671872,31000000,57094000000
Digital Realty,44669792256,1025890000,5477061000
Johnson Controls,44515454976,1899000000,25981000000
HCL Technologies,44382946405,2469650000,12764390379
Tata Motors,44325746437,2770680000,50928931451
CIBC,44055097344,5897300000,17448677708
Anglo American,44047668517,3595000000,30652000000
TE Connectivity,43763044352,2559000000,16024000000
Kering,43673761355,5247100000,21631840796
Ross Stores,43566436352,2545870000,20376941000
Rolls-Royce Holdings,43551396093,3089570000,20986676783
Adidas,43407558675,224585000,23214948889
Moderna,43257782272,-3904000000,6754000000
Sun Pharmaceutical,43223158426,1271620000,5648148146
Axis Bank,43177141281,4240620000,9212285934
Ferguson,43160641536,2301000000,29359000000
Datadog,42899709952,68228000,2128359000
Paychex,42810400768,2227000000,5212800000
Oil &amp; Natural Gas,42690054978,9186320000,77520501781
Hikvision,42673100684,2359390000,12693837326
Dominion Energy,42616733696,4189000000,16390000000
Bank of New York Mellon,42584383488,4088000000,17291000000
IQVIA,42549411840,2131000000,14984000000
MPLX,42510884864,4874000000,10434000000
Manulife Financial,42322698240,4823520000,31580759285
ENGIE,42278789941,7094530000,91283582090
Fomento Económico Mexicano,42260685415,4360710000,41994732605
NTPC Limited,42248929230,4579820000,21163222721
Lennar,42237337600,5348640000,35055867000
Waste Connections,42169335808,1304590000,8194101000
Banco Santander Brasil,41994620928,2554220000,8320557102
Adani Enterprises,41763902176,1088300000,13014531462
IDEXX Laboratories,41600552960,1102760000,3660953000
Lloyds Banking Group,41600155648,8613350000,23597630590
Ameriprise Financial,41330290688,3558000000,15535000000
Takeda Pharmaceutical,41293840384,2283430000,29348955701
Ares Management,41264144384,2193940000,4986978000
Nordea Bank,41238733481,7156790000,12880910716
Hoya,41226145809,1550810000,5471224102
Nucor,41209798656,6632170000,34713501000
Crown Castle,41144475648,1527000000,6981000000
The Trade Desk,40994504704,267995000,1946120000
Kinder Morgan,40892076032,4247000000,15288000000
Hong Kong Exchanges & Clearing,40792365818,2874400000,1971961435
Ametek,40782327808,1688210000,6596950000
L3Harris Technologies,40699637760,1221000000,19419000000
Agilent Technologies,40699482112,1332000000,6735000000
Jiangsu Hengrui Medicine,40672775327,673301000,3250725715
Coupang,40660393984,632000000,24383000000
Compagnie de Saint-Gobain,40611394353,4218910000,53006080708
Daikin,40537947920,2745670000,29965168901
Lonza,40491778678,1567440000,6736306560
Danone,40484242290,5503750000,16710456401
Dow,40455933952,656000000,44622000000
Chandra Asri Petrochemical,40317745394,60074000,2159932000
Samsung Biologics,40275978583,912582000,2805443843
The Hershey Company,40121532416,2333370000,11164992000
Yum! Brands,40091230208,1818000000,7076000000
Kroger,39956258816,2836000000,150039000000
Givaudan,39902716495,1176320000,8224711243
Prudential Financial,39756410880,3072000000,54520000000
Bank Mandiri,39621000639,4900650000,8090666728
Old Dominion Freight Line,39619518464,1648240000,5866152000
General Mills,39563595776,3089100000,20173300000
Reckitt Benckiser,39546998631,3749640000,14994697194
Cenovus Energy,39368675328,3751730000,41397891684
Goodman Group,39269877510,1323810000,1284687285
Haleon,39268892672,2573120000,14103118688
Fastenal,39050571776,1530900000,7382700000
Centene,39036936192,4323000000,153999000000
Cummins,39011876864,1626000000,34065000000
Bayan Resources,39000001950,1637230000,3581375403
Kuwait Finance House,38877426272,2636700000,4660463819
CaixaBank,38839440780,7495820000,16591216750
Kotak Mahindra Bank,38716974271,2793540000,8004975662
Wanhua Chemical,38641875374,3235460000,25020905858
Barclays,38565625856,7793440000,31479290043
Fidelity National Information Services,38553485312,-5916000000,12255000000
Pernod Ricard,38506518392,3193030000,13190527425
Adyen,38438081955,113336000,1324119767
Alcon,38310309888,1021000000,9455000000
Titan Company,38184345551,620866000,5718633459
Generali,38160301237,4542810000,86321911708
Corteva,38148362240,1326000000,17226000000
Quanta Services,38080335872,969956000,20882206000
MSCI,37847777280,1575730000,2616667000
Luzhou Laojiao,37838741181,2416140000,4198326238
Imperial Oil,37751889920,4796600000,36047590288
Sysco,37715603456,3274280000,77512288000
Ingersoll Rand,37625511936,1031100000,6876100000
UOB,37395699858,3187460000,7053246436
CoStar Group,37371461632,162179000,2527034000
Otis Worldwide,37367533568,2217000000,14300000000
Experian,37334990848,1174000000,6619000000
Exelon Corporation,37311107072,4431000000,21728000000
Charter Communications,37148934144,12042000000,54607000000
Cheniere Energy,37041848320,14578000000,20394000000
B Communications,37009563028,492297000,2481199703
Japan Post Bank,36938487197,3345720000,12389998934
TC Energy,36934643712,4929480000,11897744424
Mitsubishi Electric,36873797958,2492610000,36867873633
Daimler Truck,36858810299,5785730000,60650854536
Haier Smart Home,36774242855,3074050000,36886290317
Humana,36773289984,3322000000,109243000000
QNB Finansbank,36732298410,1507000000,2942294008
Ambev,36695056384,3029420000,16073767129
Baidu,36613328896,4015100000,18982442007
STMicroelectronics,36543594496,4817000000,17286000000
Royal Caribbean,36435472384,3105970000,13900000000
Wolters Kluwer,36415365282,1433940000,6173576562
Capgemini,36372765390,2547260000,24899944721
Diamondback Energy,36335808512,4423000000,8339000000
Sea (Garena),36265263104,820803000,12898516000
Martin Marietta,36256534528,1658100000,6777200000
CITIC Securities,36130103217,3694060000,8385796096
Kenvue,36100722688,2190000000,15444000000
Deutsche Börse,35974708303,2825520000,6861143260
DMart,35929150210,402032000,5874094551
Exor,35925952775,10129900000,223325518427
GE HealthCare Technologies,35844567040,2903000000,19552000000
3i Group,35196314612,5667180000,5836884352
QNB (Qatar National Bank),35194857495,5995380000,10616022751
Vertiv Holdings,34984411136,533700000,6863200000
Murata Manufacturing (Murata Seisakusho),34930486598,1923670000,11226667544
Thales,34919493262,1554410000,18815717606
Naspers,34846130176,8121000,2531527000
Restaurant Brands International,34746249216,1453000000,7022000000
Arch Capital,34720878592,3385000000,13294000000
E.ON,34699890321,69538900,101888903112
Deutsche Bank,34586415104,8833860000,33939013379
Nasdaq,34482438144,1402000000,6064000000
UltraTech Cement,34465678002,1167420000,8263481116
Woodside Energy,34367373312,3273000000,13994000000
Adani Ports & SEZ,34323589811,1390430000,3070423376
Vulcan Materials,34238607360,1441300000,7782000000
Loblaw Companies,34236925301,2781570000,44410545343
PSEG,34220519424,3081000000,11237000000
Adani Green Energy,34150433681,193853000,1099589376
Beiersdorf,34148063098,1085800000,7394350034
SMC corp,34115253946,1824150000,5498051122
7-Eleven,33964751973,2009050000,81330531825
Partners Group,33964059368,1222560000,1963520242
Electronic Arts,33886613504,1510000000,7657000000
Halliburton,33831778304,3962000000,23145000000
NatWest Group,33693747200,7710330000,18468030344
Powergrid Corporation of India,33668968657,3303390000,5404273707
Las Vegas Sands,33639763968,2962000000,11211000000
Coal India,33577126145,4883000000,15887935123
Kia,33533237289,9758440000,75811556406
Flutter Entertainment,33290698752,-59389600,9324412770
Coca-Cola European Partners,33203968000,1567990000,13511781999
Asian Paints,33071088462,899929000,4291683342
Devon Energy,33029525504,4992000000,15258000000
CDW Corporation,33018247168,1676800000,21376000000
Monolithic Power Systems,33012107264,505841000,1821072000
Baker Hughes,32937553920,2729000000,26209000000
Muyuan Foods,32929798676,2048520000,18066469724
ASM International,32874606204,1184470000,2774049645
Cognizant Technology Solutions,32800219136,2787000000,19353000000
Gartner,32794265600,1147130000,5906956000
Gree Electric Appliances,32763548466,4621320000,27916038968
LyondellBasell,32725012480,3104000000,41107000000
EQT,32652118937,264677000,2304588170
Bank of China (Hong Kong),32652087717,4486070000,9018174825
Delta Air Lines,32525389824,7046000000,59037000000
Anta Sports,32492605925,1646390000,7779002160
Veeva Systems,32469059584,429332000,2363673000
Consolidated Edison,32340469760,3003000000,14663000000
Sumitomo,32329128490,4974650000,48055610376
Hapag-Lloyd,32310902382,3294310000,19453431631
WEG ON,32275071002,1329970000,6560371108
BTG Pactual,32262118440,2927910000,6476089048
Xylem,32031817728,635000000,7364000000
Dubai Electricity and Water Authority (DEWA),31996294996,2574980000,7943184450
Ashtead,31942842779,2158100000,10674900000
Discover Financial Services,31874371584,3837000000,15871000000
Trip.com,31824443392,1968830000,5536620199
Swiss Re,31777709728,4372000000,43745000000
HubSpot,31767492608,-157702000,2170230000
Agnico Eagle Mines,31736166400,2359070000,6626909000
Kühne + Nagel,31647431399,1941320000,25457192325
Biogen,31628034048,1323300000,9663100000
Disco Corp.,31600095852,714141000,1995637374
Hindustan Aeronautics,31597999089,887690000,3405727444
Rockwell Automation,31568949248,1400200000,9129100000
Henkel,31515624620,3251390000,22494502907
Ryanair,31489181696,1835220000,12678255541
Global Payments,31448154112,1830100000,9654419000
Verisk Analytics,31296897024,1027200000,2681400000
ResMed,31296335872,1215230000,4504077000
Shanghai Pudong Development Bank,31218843419,6093000000,25217626824
